category,Crop,District,CNext,CLast,CTransp,IrriType,IrriSource,ExpYield,Season
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Drip,Groundwater,10,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Drip,Canal,13,Rabi
Diseased,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Drip,Canal,14,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Drip,Groundwater,12,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Canal,10,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Drip,Canal,14,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Drip,Canal,14,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Sprinkler,Canal,15,Rabi
Stressed,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Sprinkler,Canal,11,Rabi
Pests,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Drip,Groundwater,12,Rabi
Pests,Cotton,Adilabad,Maize,Sorghum,Drilling,Drip,Groundwater,10,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Drip,Canal,11,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Drip,Canal,15,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Drip,Canal,15,Rabi
Pests,Cotton,Adilabad,Maize,Sorghum,Seed Drilling,Drip,Groundwater,11,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Sprinkler,Canal,13,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Groundwater,14,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Groundwater,10,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Sprinkler,Groundwater,10,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Canal,10,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Sprinkler,Canal,11,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Seed Drilling,Drip,Canal,13,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Drilling,Sprinkler,Canal,12,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Broadcasting,Sprinkler,Groundwater,15,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Drip,Canal,11,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Sprinkler,Groundwater,12,Rabi
Diseased,Cotton,Adilabad,Maize,Sorghum,Drilling,Drip,Canal,15,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Drip,Canal,15,Rabi
Healthy,Cotton,Adilabad,Sorghum,Maize,Broadcasting,Sprinkler,Canal,13,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Drip,Groundwater,14,Rabi
Healthy,Cotton,Adilabad,Maize,Sorghum,Drilling,Sprinkler,Canal,10,Rabi
